model,split,num_examples,sum_accuracy,avg_token_accuracy,avg_sum_margin,avg_token_margin,avg_chosen_sum_logp,avg_rejected_sum_logp,avg_chosen_token_logp,avg_rejected_token_logp,model_path,data_path
acdpo,eval_easy,1000,0.347,0.564,-67.90850212311744,0.14642592702805995,-216.9067708582878,-148.99826873517037,-2.7339214316010474,-2.8803473586291073,./results/acdpo/final_model,./data/eval_easy.jsonl
acdpo,eval_hard,1000,0.518,0.526,4.899598240852356,0.058913263365626335,-167.16347468996048,-172.06307293081284,-2.5893990476280453,-2.6483123109936715,./results/acdpo/final_model,./data/eval_hard.jsonl
acdpo,eval_all,2000,0.4325,0.545,-31.504451941132544,0.10266959519684314,-192.03512277412415,-160.5306708329916,-2.6616602396145463,-2.7643298348113894,./results/acdpo/final_model,./data/eval_all.jsonl
baseline_r64,eval_easy,1000,0.354,0.589,-63.927719258785245,0.23614440253376962,-212.12894500350953,-148.20122574472427,-2.679903957605362,-2.9160483601391314,./results/baseline_r64/final_model,./data/eval_easy.jsonl
baseline_r64,eval_hard,1000,0.516,0.521,4.439970716834068,0.049926530674099925,-165.7069288611412,-170.14689957797526,-2.599848493605852,-2.6497750242799523,./results/baseline_r64/final_model,./data/eval_hard.jsonl
baseline_r64,eval_all,2000,0.435,0.555,-29.74387427097559,0.14303546660393476,-188.91793693232538,-159.17406266134978,-2.639876225605607,-2.7829116922095416,./results/baseline_r64/final_model,./data/eval_all.jsonl
reverse_curriculum,eval_easy,1000,0.361,0.628,-61.65267531919479,0.3308171503841877,-212.09286755228044,-150.44019223308564,-2.7080873041749,-3.0389044545590878,./results/reverse_curriculum/final_model,./data/eval_easy.jsonl
reverse_curriculum,eval_hard,1000,0.517,0.527,4.220671903133392,0.03847450192272663,-166.87473481082915,-171.09540671396255,-2.6758659480065106,-2.7143404499292374,./results/reverse_curriculum/final_model,./data/eval_hard.jsonl
reverse_curriculum,eval_all,2000,0.439,0.5775,-28.7160017080307,0.18464582615345718,-189.48380118155478,-160.7677994735241,-2.6919766260907054,-2.8766224522441624,./results/reverse_curriculum/final_model,./data/eval_all.jsonl
baseline_r8,eval_easy,1000,0.357,0.61,-62.88067163181305,0.2854125373959541,-212.35490700817107,-149.47423537635802,-2.6931245170235636,-2.9785370544195175,./results/baseline_r8/final_model,./data/eval_easy.jsonl
baseline_r8,eval_hard,1000,0.514,0.521,4.387841646671295,0.047373322166502474,-166.30564034509658,-170.6934819917679,-2.628911701500416,-2.6762850236669182,./results/baseline_r8/final_model,./data/eval_hard.jsonl
baseline_r8,eval_all,2000,0.4355,0.5655,-29.246414992570877,0.1663929297812283,-189.33027367663382,-160.08385868406296,-2.6610181092619896,-2.827411039043218,./results/baseline_r8/final_model,./data/eval_all.jsonl
